dependabot[bot],"release, notes, https","signed-off-by, dependabot, bot","dependabot, bot, support","bot, support, github.com","from, 2.0.7, to"
LXing,"change, controls, to","controls, to, pointerlock","fix, errors, removed","errors, removed, loading","removed, loading, card"
Michael Skowronski,"qa, scripts, 25","scripts, 25, the","25, the, intention","the, intention, here","intention, here, is"
xjx3316,"set, theme, jekyll-theme-cayman",,,,
Alfredo Castillo,"cleanup, model, constructors","model, constructors, and","constructors, and, fixed","and, fixed, typo","fixed, typo, in"
Mezumona Kosaki,,,,,
Raul Ovalle,"fix, resolve, test","fix, expected, indentation","expected, indentation, of","indentation, of, 16","of, 16, spaces"
Ryan Burn,"add, bracket, operator","bracket, operator, test","add, test, coverage","test, coverage, for","coverage, for, other"
IOhacker,"adding, a, better","a, better, way","better, way, to","way, to, manage","to, manage, fineract"
Johan Berg,"add, debug, output","debug, output, macros",,,
Ido Ben-Hur,"'', this, reverts","this, reverts, commit","revert, ``, msm8998-common","``, msm8998-common, overlay","enable, burn, in"
Benito Perdomo Vergara,,,,,
john gravois,"add, info, for","info, for, prospective","for, prospective, esri","prospective, esri, staff","esri, staff, contributors"
Lauren Boyd,"merge, pull, request","pull, request, 342","request, 342, from","342, from, jgravois/patch-1","from, jgravois/patch-1, add"
Thomas LaFreniere,"subscription, confirmation, profile","confirmation, profile, active","profile, active, subscriptions","active, subscriptions, canncellation","subscriptions, canncellation, wip"
mohsenataei,"exercise, issue, fixed",,,,
Pakeji,"commit, january, 01","january, 01, 2020","01, 2020, 00:46:06","2020, 00:46:06, utc","01, 2020, 00:46:08"
bplok20010,,,,,
Jerry014a,"learning, modules, and","modules, and, basics","and, basics, of","basics, of, node",
Ben Saufley,"update, codeclimate, coverage","codeclimate, coverage, reporter","coverage, reporter, try","reporter, try, parallel","try, parallel, tests"
MehdiL,"typos, in, protfolio",,,,
Camilo Soto Montoya,,,,,
simerplaha,"129, fixing, 2.11","fixing, 2.11, build","129, java, slice","129, java, set","129, name, stream"
LuisFrag,"create, boardexception, and","boardexception, and, defensive","and, defensive, programing",,
wmay,"add, 2019, 2nd","2019, 2nd, quarter","2nd, quarter, wfml","quarter, wfml, flags","wfml, flags, closes"
Thomas de Zeeuw,"tests, on, windows","port, tests, for","is, opened, to","opened, to, investigate","to, investigate, why"
Dmitrii Goriunov,"read, till, would","till, would, block","if, connection, closed","connection, closed, we","closed, we, still"
Tomas Janousek,"set, the, address","persistent, mac, address","mac, address, for","we, set, the","bridges, having, a"
elangovan sivanandam,"merge, pull, request","pull, request, 2380","request, 2380, from","2380, from, liskin/bridge-atomic-hwaddr","from, liskin/bridge-atomic-hwaddr, bridge"
simsland,,,,,
Lucas,"zap, transformed, the","transformed, the, logger","the, logger, object","logger, object, into","object, into, a"
SeungYeop Han,,,,,
James Cathcart,"wip, not, receving","not, receving, token","receving, token, 401","token, 401, response",
d3j331,"fixed, line, ending","line, ending, fro","ending, fro, json","fro, json, file",
Tsujioka Taichi,,,,,
Danver98,"added, request, inquiry","checking, request, object",,,
y-yagi,"merge, pull, request","pull, request, 69","request, 69, from","69, from, y-yagi/dependabot/npm_and_yarn/types/node-13.1.2","from, y-yagi/dependabot/npm_and_yarn/types/node-13.1.2, bump"
Dustin Spicuzza,"black, formatting, changes",,,,
Michael Weedman,"added, login, framework",,,,
ChristianDunn,"changes, to, virtual","to, virtual, avail",,,
wadegguerin,"merge, pull, request","pull, request, 1","request, 1, from","1, from, wadegguerin/edit-hello","from, wadegguerin/edit-hello, update"
Tetsu Yamazaki,"added, 組織タイプにprojectを追加, プロジェクトメンバーリポジトリを追加","組織タイプにprojectを追加, プロジェクトメンバーリポジトリを追加, changed","プロジェクトメンバーリポジトリを追加, changed, ユーザーが閲覧権限を持つプロジェクトのみ検索できるように制限","merge, branch, 'release/1.3.0","merge, tag, 1.2.0"
Philip Lassen,"latest, updates, to","updates, to, quicksort",,,
SharkFin,"tab, 2, spaces","update, spacing, single","spacing, single, tab","single, tab, double","tab, double, tab"
Jairo Llopis,"is, missing, in","fix, website, do","website, do, not","do, not, fail","not, fail, if"
Yoshi Tashiro,"imp, l10n_jp, covering","l10n_jp, covering, new","covering, new, tax","new, tax, 10","tax, 10, from"
Nicolas Lempereur,"fix, web_editor, revert","web_editor, revert, ``","revert, ``, update","``, update, attribute","update, attribute, of"
Pete Higgins,"docs, signed-off-by, pete","signed-off-by, pete, higgins","pete, higgins, pete","higgins, pete, peterhiggins.org","for, api, docs"
Robert Long,"do, n't, use","n't, use, the","use, the, creator","the, creator, attribution","creator, attribution, if"
CodyMathis123,,,,,
ardnew,"rename, version, class","version, class, to","class, to, prevent","to, prevent, name","prevent, name, conflicts"
Agustin Mendez,,,,,
hououinkami,"rename, apiforhome.ini, to","apiforhome.ini, to, apiforhomer.ini",,,
Pierre Zemb,"bump, lombok, version","lombok, version, to","version, to, allow","to, allow, building","allow, building, with"
belinda-wong,"``, enabling, tls","enabling, tls, authentication","tls, authentication, on","authentication, on, proxies","on, proxies, ''"
Masahiro Sakamoto,"jackson, libraries, to","fix, bug, that","bug, that, beforeconsume","that, beforeconsume, of","beforeconsume, of, interceptor"
Reugn,"add, murmur3_32hash, private","murmur3_32hash, private, constructor","private, constructor, 5765",,
Sunkwan Kwon,"fixes, 5626, 5627","5626, 5627, if","5627, if, killafteridlems","if, killafteridlems, is","killafteridlems, is, 0"
congbo,"modify, the, logical","the, logical, for","logical, for, getting","for, getting, schema","getting, schema, compatibility"
ntysdd,"fix, potential, npe","potential, npe, and","npe, and, repeated","and, repeated, conditional","repeated, conditional, test"
Mariia Pecherytsia,"reset, and, start","and, start, new","start, new, project","new, project, type","project, type, npm"
Val,,,,,
ejelome,"replace, theme, with","theme, with, homepage","with, homepage, added","homepage, added, sphinx-powered","added, sphinx-powered, technical"
Bradley Guthrie,"added, observable, for","observable, for, post",,,
Francesco Litrico,"made, some, commands","some, commands, more","commands, more, user-friendly",,
Brendan Lensink,"delete, “, assets/uploads/charli.png","“, assets/uploads/charli.png, ”",,,
Woodstock Recordstore,,,,,
aseventhimpossiblething,,,,,
CreamyGlue,"apples, and, oranges","and, oranges, java","oranges, java, explained",,
Weiyishijie,,,,,
zebingl@fb.com,,,,,
Test Author,"new, pr, to","pr, to, test","to, test, signcla","test, signcla, at","signcla, at, 2019-12-31"
quantum9Innovation,"i, knew, you","knew, you, would","you, would, n't","would, n't, believe","n't, believe, it"
Bamboo CI,"automated, build, in","build, in, bamboo","in, bamboo, ci",,
damienliccia,"ajout, réseaux, sociaux",,,,
Jack Howard,"merge, pull, request","basic, webpack, react","webpack, react, babel","react, babel, setup","build, for, webpack"
Darrell,,,,,
Jan Gruenwaldt,,,,,
unknown,"speech, systhesis, css","links, highlight, works","speech, systhesis, html","systhesis, css, linked",
Adrian Ancona Novelo,"finish, article, about","article, about, postgresql","about, postgresql, user","postgresql, user, management",
Lorenzo Mangione,"element, properties, subroutine","element, update, fix","map, doc, and","doc, and, variables","direction, offsets, and"
sarkiroka,"update, with, actual","with, actual, data",,,
Man Long Wong,,,,,
DreamLi,,,,,
Jorge Pinna Puissant,"debug, assets, in","website, accessed, and","accessed, and, can","fix, base, website","base, website, debug"
Goffin Simon,"fix, lunch, the","lunch, the, lunch","the, lunch, mail","lunch, mail, template","mail, template, is"
Duy,,,,,
Andrew Asplund,"updated, assignment, expanded","assignment, expanded, dom","expanded, dom, manipulation","dom, manipulation, updated","manipulation, updated, assignment"
wmayer,"declare, getmdiview, and","getmdiview, and, getmdiviewpage","and, getmdiviewpage, as","getmdiviewpage, as, const","set, explicit, utf-8"
Grey Christoforo,"fix, brick01, file","brick01, file, name",,,
PushKK,"skip, ci, update","ci, update, fem_ru.ts","update, fem_ru.ts, fix","fem_ru.ts, fix, error","fix, error, in"
Rajendra Pardeshi,"issue, id, 0004230","id, 0004230, fixing","0004230, fixing, a","fixing, a, crash","a, crash, in"
"Zheng, Lei","display, mode, restore","partdesign, fix, subshapebinder","fix, subshapebinder, lost","subshapebinder, lost, of","lost, of, placement"
WandererFan,"td, support, pyramid","td, add, arrow","add, arrow, style","arrow, style, pyramid","style, pyramid, contributed"
Haokang Den,"merge, pull, request","pull, request, 14","request, 14, from","14, from, hden/renovate/org.clojure-java.jdbc-0.x","from, hden/renovate/org.clojure-java.jdbc-0.x, update"
Weicheng Xue,"finish, running, cases","running, cases, using","cases, using, limiters","using, limiters, for","limiters, for, the"
dsl,"words, in, sbjm","in, sbjm, ''","sbjm, '', this","'', this, reverts","this, reverts, commit"
anonoymousm,"site, updated, 2020-01-01","updated, 2020-01-01, 08:46:16",,,
Brandon,"merge, pull, request","pull, request, 1","request, 1, from","1, from, brandon242400/dependabot/npm_and_yarn/handlebars-4.5.3","from, brandon242400/dependabot/npm_and_yarn/handlebars-4.5.3, bump"
akaban01,,,,,
Aaron Jackson,"cleaning, up, tests","up, tests, fixing","tests, fixing, a","fixing, a, few","a, few, remaining"
jacobatwork,,,,,
Marco Castelluccio,"ultrablame, original, commit","a=blocking-firefox3+, ultrablame, original","a=blocking1.9+, ultrablame, original","r=mano, a=blocking-firefox3+, ultrablame","reftests, for, bug"
dhon2407-pc,"cooking, checkpoint, 4","checkpoint, 4, refactoring","4, refactoring, and","refactoring, and, improvements",
wingtorres,,,,,
TumsaUmata,,,,,
Brandon Minnick,"added, javascript, config","updated, signalrservice.subscribe, logic",,,
cgschu1tz,"plugins, were, a","were, a, giant","a, giant, waste","giant, waste, of","waste, of, time"
Jack Zhang,"edited, introductory, post","added, new, post","introductory, post, and","post, and, added","and, added, new"
Angel Fernando Quiroz Campos,"lti, allow, multiple","allow, multiple, lineitems","multiple, lineitems, for","lineitems, for, tool","for, tool, link"
Gilberto Placidon,"add, files, via","files, via, upload","via, upload, implemented","upload, implemented, quicksort","implemented, quicksort, it"
Laurent Mignon (ACSONE),,,,,
Henrik Bechmann,"parameterize, configuration, data",,,,
Ethan Ruszanowski,"added, alt, tags","merge, pull, request","pull, request, 26","request, 26, from","26, from, ethanrusz/alt-tags"
Colin,"remove, dependency, on","dependency, on, aws","on, aws, dockerhub",,
microcai,,,,,
hugocas,,,,,
yeG10,,,,,
Deployment Bot,"publishing, to, gh-pages","to, gh-pages, wed","gh-pages, wed, jan","wed, jan, 1","jan, 1, 00:46:41"
dan0x09,"update, adapters, to","adapters, to, use","to, use, native","use, native, class","native, class, syntax"
Peter Xu,"add, mocks, for","mocks, for, request-promise-native","for, request-promise-native, by","request-promise-native, by, default",
Jeff Kowalski,"add, rubocop.yml, and","rubocop.yml, and, address","and, address, rubocop","address, rubocop, issues","add, dry_run, option"
zhangwenjie-tina,,,,,
Erik Mackdanz,"app-backup/amanda, disable, sandbox-violating","disable, sandbox-violating, configure","sandbox-violating, configure, test","configure, test, closes","test, closes, https"
Repository mirror & CI,"merge, updates, from","updates, from, master","2020-01-01, 00:25:51, utc",,
adityamaddala,"set, up, ci","up, ci, with","ci, with, azure","with, azure, pipelines","azure, pipelines, skip"
Gerardo Salazar,"add, test, cases","test, cases, for","cases, for, null","for, null, lastupdatetime","null, lastupdatetime, and"
omegga,"add, tests, for","tests, for, converters",,,
Pascal T,"merge, pull, request","pull, request, 17","request, 17, from","17, from, omegga/refacto-cli","from, omegga/refacto-cli, refacto"
julia,,,,,
PRIZ ;],,,,,
user Ryutta,,,,,
casey langen,"allow, for, transcoder","for, transcoder, format","transcoder, format, selection","format, selection, in","selection, in, musikdroid"
Kai Raphahn,"feat, create, framework","create, framework, add","bytes, issue, 1","stuff, issue, 1","create, framework, remove"
Vikram Babu,,,,,
The Tester,,,,,
jofsky,"updating, files, for","files, for, working","for, working, version","🐈, updating, files","📦, updating, files"
Kevin Wang,"color, changes, working","colors, and, icons","and, icons, updated","refactor, kvstore, transaction","kvstore, transaction, exec"
365462129@qq.com,,,,,
MilkyVishra,,,,,
psandra1997,,,,,
Ricardo Morin,"add, to, menu","include, svg, file","add, processed, images",,
ghrip,,,,,
David Vo,"fix, ntproperty, with","ntproperty, with, non-default","with, non-default, instance",,
Stephen Warneford-Bygrave,"fixes, for, broken","for, broken, via","broken, via, download","via, download, and","download, and, pkg"
macmule,"merge, pull, request","pull, request, 56","request, 56, from","56, from, wegotoeleven/master","from, wegotoeleven/master, fixes"
Darren Wallace,"update, changed, name","changed, name, and","name, and, updated","and, updated, how","updated, how, we"
Richard Mallion,"drawbot, munki, receipe",,,,
Neil Martin,"create, labels, and","labels, and, addresses.munki.recipe.html","whoops, remove, html","remove, html, extension","html, extension, from"
Eniola Oyewole,"added, login, capability","login, capability, added","capability, added, the","added, the, option","the, option, to"
Yehonatan Hen,"merge, pull, request","from, yehonatanhen/yonatan, yonatan","pull, request, 13","request, 13, from","13, from, yehonatanhen/yonatan"
Guy Cohen,"merge, pull, request","pull, request, 15","request, 15, from","15, from, yehonatanhen/yonatan","from, yehonatanhen/yonatan, adding"
Marcel Goldschen-Ohm,"create, a, visual","a, visual, intro","visual, intro, to","intro, to, numpy","to, numpy, and"
dominicskinner,"merge, pull, request","pull, request, 24","request, 24, from","24, from, dominicskinner/master","from, dominicskinner/master, update"
Michael Szul,,,,,
randomjamart,,,,,
GitHub,"deploy, from, travis","from, travis, build","travis, build, 9319","build, 9319, ci","9319, ci, skip"
James Gallagher,"edit, to, the","to, the, drmpp_module/tests/makefile.am",,,
DentonWarnock,"fixes, to, context","to, context, consuming",,,
Igor Dvorkin,"updating, weight, for","weight, for, end","for, end, of","end, of, 2019",
Kirill Shcherbina,"automatically, backed, up","backed, up, by","up, by, learn",,
